condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,7,0.5833333333333334,0.2,True
bare,statement,neutral,1,0.08333333333333333,0.02857142857142857,True
bare,statement,distractor,4,0.3333333333333333,0.11428571428571428,True
bare,confirmation,statement,0,0.0,,True
bare,confirmation,neutral,0,0.0,,True
bare,confirmation,distractor,0,0.0,,True
bare,neutral,statement,0,0.0,,True
bare,neutral,confirmation,0,0.0,,True
bare,neutral,distractor,0,0.0,,True
bare,distractor,statement,0,0.0,0.0,True
bare,distractor,confirmation,0,0.0,0.0,True
bare,distractor,neutral,0,0.0,0.0,True
ba,statement,confirmation,0,0.0,0.0,True
ba,statement,neutral,0,0.0,0.0,True
ba,statement,distractor,1,0.07142857142857142,0.5,True
ba,confirmation,statement,9,0.6428571428571429,0.32142857142857145,False
ba,confirmation,neutral,1,0.07142857142857142,0.03571428571428571,True
ba,confirmation,distractor,2,0.14285714285714285,0.07142857142857142,True
ba,neutral,statement,0,0.0,0.0,True
ba,neutral,confirmation,1,0.07142857142857142,1.0,True
ba,neutral,distractor,0,0.0,0.0,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,0,0.0,0.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,1,0.041666666666666664,0.2,True
ma,confirmation,neutral,2,0.08333333333333333,0.4,True
ma,confirmation,distractor,1,0.041666666666666664,0.2,True
ma,neutral,statement,3,0.125,0.11538461538461539,True
ma,neutral,confirmation,15,0.625,0.5769230769230769,False
ma,neutral,distractor,1,0.041666666666666664,0.038461538461538464,True
ma,distractor,statement,1,0.041666666666666664,1.0,True
ma,distractor,confirmation,0,0.0,0.0,True
ma,distractor,neutral,0,0.0,0.0,True
overall,statement,confirmation,7,0.14,0.1891891891891892,True
overall,statement,neutral,1,0.02,0.02702702702702703,True
overall,statement,distractor,5,0.1,0.13513513513513514,True
overall,confirmation,statement,10,0.2,0.30303030303030304,False
overall,confirmation,neutral,3,0.06,0.09090909090909091,True
overall,confirmation,distractor,3,0.06,0.09090909090909091,True
overall,neutral,statement,3,0.06,0.1111111111111111,True
overall,neutral,confirmation,16,0.32,0.5925925925925926,False
overall,neutral,distractor,1,0.02,0.037037037037037035,True
overall,distractor,statement,1,0.02,0.3333333333333333,True
overall,distractor,confirmation,0,0.0,0.0,True
overall,distractor,neutral,0,0.0,0.0,True
